Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,03/05/2025,MI,,C,"7,1","1.500,00",O,S,
1.0,03/05/2025,MI,,C,"296,1","1.500,00",O,S,
1.0,03/05/2025,MI,,C,"177,9","1.500,00",O,S,
1.0,03/05/2025,MI,,C,"0,1","800,00",O,S,
1.0,03/05/2025,MI,,C,"231,7","501,00",O,S,
1.0,03/05/2025,MI,,C,"1.867,7","501,00",O,S,
1.0,03/05/2025,MI,,C,"16,5","501,00",O,S,
1.0,03/05/2025,MI,,C,"206,8","500,00",O,S,
1.0,03/05/2025,MI,,C,"569,8","500,00",O,S,
1.0,03/05/2025,MI,,C,"0,1","500,00",O,S,
1.0,03/05/2025,MI,,C,"2,0","500,00",O,S,
1.0,03/05/2025,MI,,C,"14,0","500,00",O,S,
1.0,03/05/2025,MI,,C,"175,3","500,00",O,S,
1.0,03/05/2025,MI,,C,"896,6","500,00",O,S,
1.0,03/05/2025,MI,,C,"352,3","500,00",O,S,
1.0,03/05/2025,MI,,C,"733,6","500,00",O,S,
1.0,03/05/2025,MI,,C,"0,1","500,00",O,S,
1.0,03/05/2025,MI,,C,"31,8","500,00",O,S,
1.0,03/05/2025,MI,,C,"89,2","500,00",O,S,
1.0,03/05/2025,MI,,C,"40,4","466,30",O,S,
1.0,03/05/2025,MI,,C,"0,1","466,30",O,S,
1.0,03/05/2025,MI,,C,"0,3","466,30",O,S,
1.0,03/05/2025,MI,,C,"38,6","451,00",O,S,
1.0,03/05/2025,MI,,C,"134,7","451,00",O,S,
1.0,03/05/2025,MI,,C,"4,2","451,00",O,S,
1.0,03/05/2025,MI,,C,"134,2","450,00",O,S,
1.0,03/05/2025,MI,,C,"785,9","450,00",O,S,
1.0,03/05/2025,MI,,C,"18,6","449,00",O,S,
1.0,03/05/2025,MI,,C,"48,1","402,00",O,S,
1.0,03/05/2025,MI,,C,"37,0","402,00",O,S,
1.0,03/05/2025,MI,,C,"2,0","402,00",O,S,
1.0,03/05/2025,MI,,C,"5,2","402,00",O,S,
1.0,03/05/2025,MI,,C,"6,1","400,00",O,S,
1.0,03/05/2025,MI,,C,"43,3","400,00",O,S,
1.0,03/05/2025,MI,,C,"0,5","400,00",O,S,
1.0,03/05/2025,MI,,C,"1,8","400,00",O,S,
1.0,03/05/2025,MI,,C,"27,0","400,00",O,S,
1.0,03/05/2025,MI,,C,"0,6","400,00",O,S,
1.0,03/05/2025,MI,,C,"18,6","400,00",O,S,
1.0,03/05/2025,MI,,C,"21,1","400,00",O,S,
1.0,03/05/2025,MI,,C,"1,3","400,00",O,S,
1.0,03/05/2025,MI,,C,"403,4","400,00",O,S,
1.0,03/05/2025,MI,,C,"21,0","400,00",O,S,
1.0,03/05/2025,MI,,C,"51,3","400,00",O,S,
1.0,03/05/2025,MI,,C,"65,8","400,00",O,S,
1.0,03/05/2025,MI,,C,"901,4","400,00",O,S,
1.0,03/05/2025,MI,,C,"3,0","400,00",O,S,
1.0,03/05/2025,MI,,C,"7,0","400,00",O,S,
1.0,03/05/2025,MI,,C,"40,6","400,00",O,S,
1.0,03/05/2025,MI,,C,"4,8","400,00",O,S,
1.0,03/05/2025,MI,,C,"61,6","400,00",O,S,
1.0,03/05/2025,MI,,C,"2,3","400,00",O,S,
1.0,03/05/2025,MI,,C,"0,7","400,00",O,S,
1.0,03/05/2025,MI,,C,"3,3","400,00",O,S,
1.0,03/05/2025,MI,,C,"42,2","400,00",O,S,
1.0,03/05/2025,MI,,C,"5,5","400,00",O,S,
1.0,03/05/2025,MI,,C,"3,1","400,00",O,S,
1.0,03/05/2025,MI,,C,"35,4","400,00",O,S,
1.0,03/05/2025,MI,,C,"53,3","350,00",O,S,
1.0,03/05/2025,MI,,C,"0,4","350,00",O,S,
1.0,03/05/2025,MI,,C,"361,6","350,00",O,S,
1.0,03/05/2025,MI,,C,"0,6","350,00",O,S,
1.0,03/05/2025,MI,,C,"0,8","350,00",O,S,
1.0,03/05/2025,MI,,C,"486,1","350,00",O,S,
1.0,03/05/2025,MI,,C,"5,9","316,17",O,S,
1.0,03/05/2025,MI,,C,"1,2","301,00",O,S,
1.0,03/05/2025,MI,,C,"0,1","300,30",O,S,
1.0,03/05/2025,MI,,C,"0,1","300,30",O,S,
1.0,03/05/2025,MI,,C,"2,1","300,03",O,S,
1.0,03/05/2025,MI,,C,"19,6","300,03",O,S,
1.0,03/05/2025,MI,,C,"27,7","300,03",O,S,
1.0,03/05/2025,MI,,C,"4,0","300,03",O,S,
1.0,03/05/2025,MI,,C,"6,7","300,03",O,S,
1.0,03/05/2025,MI,,C,"0,1","300,03",O,S,
1.0,03/05/2025,MI,,C,"0,2","300,03",O,S,
1.0,03/05/2025,MI,,C,"1,0","300,03",O,S,
1.0,03/05/2025,MI,,C,"2,7","300,03",O,S,
1.0,03/05/2025,MI,,C,"0,8","300,03",O,S,
1.0,03/05/2025,MI,,C,"5,1","300,03",O,S,
1.0,03/05/2025,MI,,C,"0,2","300,03",O,S,
1.0,03/05/2025,MI,,C,"2,1","300,03",O,S,
1.0,03/05/2025,MI,,C,"0,9","300,00",O,S,
1.0,03/05/2025,MI,,C,"29,9","300,00",O,S,
1.0,03/05/2025,MI,,C,"4,6","300,00",O,S,
1.0,03/05/2025,MI,,C,"6,5","300,00",O,S,
1.0,03/05/2025,MI,,C,"10,8","300,00",O,S,
1.0,03/05/2025,MI,,C,"0,1","300,00",O,S,
1.0,03/05/2025,MI,,C,"0,2","300,00",O,S,
1.0,03/05/2025,MI,,C,"1,1","300,00",O,S,
1.0,03/05/2025,MI,,C,"0,6","300,00",O,S,
1.0,03/05/2025,MI,,C,"1,4","300,00",O,S,
1.0,03/05/2025,MI,,C,"1,5","300,00",O,S,
1.0,03/05/2025,MI,,C,"20,9","300,00",O,S,
1.0,03/05/2025,MI,,C,"133,5","300,00",O,S,
1.0,03/05/2025,MI,,C,"156,0","300,00",O,S,
1.0,03/05/2025,MI,,C,"11,2","300,00",O,S,
1.0,03/05/2025,MI,,C,"186,4","300,00",O,S,
1.0,03/05/2025,MI,,C,"0,3","300,00",O,S,
1.0,03/05/2025,MI,,C,"4,8","300,00",O,S,
1.0,03/05/2025,MI,,C,"0,3","300,00",O,S,
1.0,03/05/2025,MI,,C,"3,4","300,00",O,S,
1.0,03/05/2025,MI,,C,"10,2","300,00",O,S,
1.0,03/05/2025,MI,,C,"0,7","300,00",O,S,
1.0,03/05/2025,MI,,C,"2,6","300,00",O,S,
1.0,03/05/2025,MI,,C,"19,3","300,00",O,S,
1.0,03/05/2025,MI,,C,"434,4","300,00",O,S,
1.0,03/05/2025,MI,,C,"130,0","300,00",O,S,
1.0,03/05/2025,MI,,C,"53,1","300,00",O,S,
1.0,03/05/2025,MI,,C,"2,0","300,00",O,S,
1.0,03/05/2025,MI,,C,"0,2","300,00",O,S,
1.0,03/05/2025,MI,,C,"42,3","300,00",O,S,
1.0,03/05/2025,MI,,C,"0,6","300,00",O,S,
1.0,03/05/2025,MI,,C,"2,9","300,00",O,S,
1.0,03/05/2025,MI,,C,"10,5","300,00",O,S,
1.0,03/05/2025,MI,,C,"0,5","300,00",O,S,
1.0,03/05/2025,MI,,C,"1,1","300,00",O,S,
1.0,03/05/2025,MI,,C,"1,1","300,00",O,S,
1.0,03/05/2025,MI,,C,"0,3","300,00",O,S,
1.0,03/05/2025,MI,,C,"0,2","300,00",O,S,
1.0,03/05/2025,MI,,C,"32,8","300,00",O,S,
1.0,03/05/2025,MI,,C,"3,4","300,00",O,S,
1.0,03/05/2025,MI,,C,"0,1","300,00",O,S,
1.0,03/05/2025,MI,,C,"69,2","300,00",O,S,
1.0,03/05/2025,MI,,C,"1,6","300,00",O,S,
1.0,03/05/2025,MI,,C,"34,0","300,00",O,S,
1.0,03/05/2025,MI,,C,"0,1","300,00",O,S,
1.0,03/05/2025,MI,,C,"75,5","299,00",O,S,
1.0,03/05/2025,MI,,C,"0,6","281,00",O,S,
1.0,03/05/2025,MI,,C,"2,0","281,00",O,S,
1.0,03/05/2025,MI,,C,"4,1","281,00",O,S,
1.0,03/05/2025,MI,,C,"713,4","280,00",O,S,
1.0,03/05/2025,MI,,C,"0,9","280,00",O,S,
1.0,03/05/2025,MI,,C,"352,9","280,00",O,S,
1.0,03/05/2025,MI,,C,"11,0","280,00",O,S,
1.0,03/05/2025,MI,,C,"5,2","280,00",O,S,
1.0,03/05/2025,MI,,C,"2,1","280,00",O,S,
1.0,03/05/2025,MI,,C,"6,2","280,00",O,S,
1.0,03/05/2025,MI,,C,"4.360,5","280,00",O,S,
1.0,03/05/2025,MI,,C,"646,0","280,00",O,S,
1.0,03/05/2025,MI,,C,"0,4","280,00",O,S,
1.0,03/05/2025,MI,,C,"734,6","275,00",O,S,
1.0,03/05/2025,MI,,C,"9,1","274,00",O,S,
1.0,03/05/2025,MI,,C,"0,1","262,00",O,S,
1.0,03/05/2025,MI,,C,"0,1","262,00",O,S,
1.0,03/05/2025,MI,,C,"0,1","262,00",O,S,
1.0,03/05/2025,MI,,C,"2,8","260,00",O,S,
1.0,03/05/2025,MI,,C,"0,3","260,00",O,S,
1.0,03/05/2025,MI,,C,"0,5","260,00",O,S,
1.0,03/05/2025,MI,,C,"0,7","260,00",O,S,
1.0,03/05/2025,MI,,C,"2,9","258,83",O,S,
1.0,03/05/2025,MI,,C,"1,2","258,83",O,S,
1.0,03/05/2025,MI,,C,"1,2","258,83",O,S,
1.0,03/05/2025,MI,,C,"2,3","258,83",O,S,
1.0,03/05/2025,MI,,C,"5,8","258,83",O,S,
1.0,03/05/2025,MI,,C,"8,1","258,83",O,S,
1.0,03/05/2025,MI,,C,"12,7","258,83",O,S,
1.0,03/05/2025,MI,,C,"7,2","255,00",O,S,
1.0,03/05/2025,MI,,C,"6,2","252,00",O,S,
1.0,03/05/2025,MI,,C,"0,2","252,00",O,S,
1.0,03/05/2025,MI,,C,"1,3","252,00",O,S,
1.0,03/05/2025,MI,,C,"1,7","252,00",O,S,
1.0,03/05/2025,MI,,C,"11,8","252,00",O,S,
1.0,03/05/2025,MI,,C,"0,2","251,00",O,S,
1.0,03/05/2025,MI,,C,"0,6","251,00",O,S,
1.0,03/05/2025,MI,,C,"3,6","251,00",O,S,
1.0,03/05/2025,MI,,C,"6,6","251,00",O,S,
1.0,03/05/2025,MI,,C,"0,2","251,00",O,S,
1.0,03/05/2025,MI,,C,"2,1","251,00",O,S,
1.0,03/05/2025,MI,,C,"0,1","251,00",O,S,
1.0,03/05/2025,MI,,C,"1,4","251,00",O,S,
1.0,03/05/2025,MI,,C,"3,4","251,00",O,S,
1.0,03/05/2025,MI,,C,"1,8","251,00",O,S,
1.0,03/05/2025,MI,,C,"0,4","251,00",O,S,
1.0,03/05/2025,MI,,C,"0,1","251,00",O,S,
1.0,03/05/2025,MI,,C,"0,1","251,00",O,S,
1.0,03/05/2025,MI,,C,"0,4","251,00",O,S,
1.0,03/05/2025,MI,,C,"0,9","251,00",O,S,
1.0,03/05/2025,MI,,C,"0,4","251,00",O,S,
1.0,03/05/2025,MI,,C,"0,4","251,00",O,S,
1.0,03/05/2025,MI,,C,"0,1","251,00",O,S,
1.0,03/05/2025,MI,,C,"0,1","251,00",O,S,
1.0,03/05/2025,MI,,C,"4,6","251,00",O,S,
1.0,03/05/2025,MI,,C,"0,8","251,00",O,S,
1.0,03/05/2025,MI,,C,"2,9","251,00",O,S,
1.0,03/05/2025,MI,,C,"0,7","251,00",O,S,
