Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,26/07/2025,MI,,C,"6,8","1.500,00",O,S,
1.0,26/07/2025,MI,,C,"206,7","1.500,00",O,S,
1.0,26/07/2025,MI,,C,"479,0","1.500,00",O,S,
1.0,26/07/2025,MI,,C,"0,1","800,00",O,S,
1.0,26/07/2025,MI,,C,"2.158,6","501,00",O,S,
1.0,26/07/2025,MI,,C,"25,1","501,00",O,S,
1.0,26/07/2025,MI,,C,"305,5","501,00",O,S,
1.0,26/07/2025,MI,,C,"150,3","500,00",O,S,
1.0,26/07/2025,MI,,C,"336,7","500,00",O,S,
1.0,26/07/2025,MI,,C,"21,9","500,00",O,S,
1.0,26/07/2025,MI,,C,"77,7","500,00",O,S,
1.0,26/07/2025,MI,,C,"11,1","500,00",O,S,
1.0,26/07/2025,MI,,C,"0,1","500,00",O,S,
1.0,26/07/2025,MI,,C,"923,6","500,00",O,S,
1.0,26/07/2025,MI,,C,"25,3","500,00",O,S,
1.0,26/07/2025,MI,,C,"0,1","500,00",O,S,
1.0,26/07/2025,MI,,C,"392,4","500,00",O,S,
1.0,26/07/2025,MI,,C,"0,1","500,00",O,S,
1.0,26/07/2025,MI,,C,"745,4","500,00",O,S,
1.0,26/07/2025,MI,,C,"40,4","466,30",O,S,
1.0,26/07/2025,MI,,C,"0,3","466,30",O,S,
1.0,26/07/2025,MI,,C,"0,1","466,30",O,S,
1.0,26/07/2025,MI,,C,"2,1","451,00",O,S,
1.0,26/07/2025,MI,,C,"38,6","451,00",O,S,
1.0,26/07/2025,MI,,C,"134,7","451,00",O,S,
1.0,26/07/2025,MI,,C,"846,9","450,00",O,S,
1.0,26/07/2025,MI,,C,"218,5","450,00",O,S,
1.0,26/07/2025,MI,,C,"17,9","449,00",O,S,
1.0,26/07/2025,MI,,C,"66,9","402,00",O,S,
1.0,26/07/2025,MI,,C,"18,7","402,00",O,S,
1.0,26/07/2025,MI,,C,"25,4","400,00",O,S,
1.0,26/07/2025,MI,,C,"18,0","400,00",O,S,
1.0,26/07/2025,MI,,C,"74,9","400,00",O,S,
1.0,26/07/2025,MI,,C,"18,8","400,00",O,S,
1.0,26/07/2025,MI,,C,"53,2","400,00",O,S,
1.0,26/07/2025,MI,,C,"5,9","400,00",O,S,
1.0,26/07/2025,MI,,C,"1.046,8","400,00",O,S,
1.0,26/07/2025,MI,,C,"2,7","400,00",O,S,
1.0,26/07/2025,MI,,C,"1,2","400,00",O,S,
1.0,26/07/2025,MI,,C,"5,6","400,00",O,S,
1.0,26/07/2025,MI,,C,"580,4","400,00",O,S,
1.0,26/07/2025,MI,,C,"39,2","400,00",O,S,
1.0,26/07/2025,MI,,C,"1,8","400,00",O,S,
1.0,26/07/2025,MI,,C,"7,1","400,00",O,S,
1.0,26/07/2025,MI,,C,"16,5","400,00",O,S,
1.0,26/07/2025,MI,,C,"7,6","369,48",O,S,
1.0,26/07/2025,MI,,C,"0,6","350,00",O,S,
1.0,26/07/2025,MI,,C,"370,7","350,00",O,S,
1.0,26/07/2025,MI,,C,"1,4","350,00",O,S,
1.0,26/07/2025,MI,,C,"359,8","350,00",O,S,
1.0,26/07/2025,MI,,C,"3,1","306,43",O,S,
1.0,26/07/2025,MI,,C,"1,5","306,43",O,S,
1.0,26/07/2025,MI,,C,"2,8","306,43",O,S,
1.0,26/07/2025,MI,,C,"5,3","306,43",O,S,
1.0,26/07/2025,MI,,C,"4,7","306,43",O,S,
