Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,18/05/2025,MI,,C,"6,7","1.500,00",O,S,
1.0,18/05/2025,MI,,C,"185,4","1.500,00",O,S,
1.0,18/05/2025,MI,,C,"319,3","1.500,00",O,S,
1.0,18/05/2025,MI,,C,"0,1","800,00",O,S,
1.0,18/05/2025,MI,,C,"0,1","700,05",O,S,
1.0,18/05/2025,MI,,C,"0,8","550,00",O,S,
1.0,18/05/2025,MI,,C,"6,4","550,00",O,S,
1.0,18/05/2025,MI,,C,"4,1","550,00",O,S,
1.0,18/05/2025,MI,,C,"1,4","550,00",O,S,
1.0,18/05/2025,MI,,C,"0,6","550,00",O,S,
1.0,18/05/2025,MI,,C,"0,9","550,00",O,S,
1.0,18/05/2025,MI,,C,"1,2","550,00",O,S,
1.0,18/05/2025,MI,,C,"4,1","550,00",O,S,
1.0,18/05/2025,MI,,C,"1.830,2","501,00",O,S,
1.0,18/05/2025,MI,,C,"232,9","501,00",O,S,
1.0,18/05/2025,MI,,C,"21,0","501,00",O,S,
1.0,18/05/2025,MI,,C,"0,1","500,00",O,S,
1.0,18/05/2025,MI,,C,"0,1","500,00",O,S,
1.0,18/05/2025,MI,,C,"140,9","500,00",O,S,
1.0,18/05/2025,MI,,C,"220,0","500,00",O,S,
1.0,18/05/2025,MI,,C,"185,4","500,00",O,S,
1.0,18/05/2025,MI,,C,"565,6","500,00",O,S,
1.0,18/05/2025,MI,,C,"749,5","500,00",O,S,
1.0,18/05/2025,MI,,C,"0,1","500,00",O,S,
1.0,18/05/2025,MI,,C,"20,1","500,00",O,S,
1.0,18/05/2025,MI,,C,"16,9","500,00",O,S,
1.0,18/05/2025,MI,,C,"30,7","500,00",O,S,
1.0,18/05/2025,MI,,C,"9,6","500,00",O,S,
1.0,18/05/2025,MI,,C,"119,8","500,00",O,S,
1.0,18/05/2025,MI,,C,"89,7","500,00",O,S,
1.0,18/05/2025,MI,,C,"0,3","466,30",O,S,
1.0,18/05/2025,MI,,C,"40,4","466,30",O,S,
1.0,18/05/2025,MI,,C,"38,6","451,00",O,S,
