Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,19/07/2025,MI,,C,"7,0","1.500,00",O,S,
1.0,19/07/2025,MI,,C,"248,2","1.500,00",O,S,
1.0,19/07/2025,MI,,C,"493,7","1.500,00",O,S,
1.0,19/07/2025,MI,,C,"0,1","800,00",O,S,
1.0,19/07/2025,MI,,C,"26,0","501,00",O,S,
1.0,19/07/2025,MI,,C,"2.121,6","501,00",O,S,
1.0,19/07/2025,MI,,C,"338,2","501,00",O,S,
1.0,19/07/2025,MI,,C,"0,1","500,00",O,S,
1.0,19/07/2025,MI,,C,"933,4","500,00",O,S,
1.0,19/07/2025,MI,,C,"12,2","500,00",O,S,
1.0,19/07/2025,MI,,C,"0,1","500,00",O,S,
1.0,19/07/2025,MI,,C,"45,7","500,00",O,S,
1.0,19/07/2025,MI,,C,"25,3","500,00",O,S,
1.0,19/07/2025,MI,,C,"149,9","500,00",O,S,
1.0,19/07/2025,MI,,C,"837,7","500,00",O,S,
1.0,19/07/2025,MI,,C,"11,2","500,00",O,S,
1.0,19/07/2025,MI,,C,"377,0","500,00",O,S,
1.0,19/07/2025,MI,,C,"346,3","500,00",O,S,
1.0,19/07/2025,MI,,C,"0,1","466,30",O,S,
1.0,19/07/2025,MI,,C,"0,3","466,30",O,S,
1.0,19/07/2025,MI,,C,"40,4","466,30",O,S,
1.0,19/07/2025,MI,,C,"38,6","451,00",O,S,
1.0,19/07/2025,MI,,C,"3,2","451,00",O,S,
1.0,19/07/2025,MI,,C,"134,7","451,00",O,S,
1.0,19/07/2025,MI,,C,"182,7","450,00",O,S,
1.0,19/07/2025,MI,,C,"863,9","450,00",O,S,
1.0,19/07/2025,MI,,C,"17,9","449,00",O,S,
1.0,19/07/2025,MI,,C,"7,5","402,27",O,S,
1.0,19/07/2025,MI,,C,"35,0","402,00",O,S,
1.0,19/07/2025,MI,,C,"66,8","402,00",O,S,
1.0,19/07/2025,MI,,C,"37,0","400,00",O,S,
1.0,19/07/2025,MI,,C,"7,0","400,00",O,S,
1.0,19/07/2025,MI,,C,"1,2","400,00",O,S,
1.0,19/07/2025,MI,,C,"2,7","400,00",O,S,
1.0,19/07/2025,MI,,C,"5,0","400,00",O,S,
1.0,19/07/2025,MI,,C,"633,9","400,00",O,S,
1.0,19/07/2025,MI,,C,"83,2","400,00",O,S,
1.0,19/07/2025,MI,,C,"5,9","400,00",O,S,
1.0,19/07/2025,MI,,C,"1.678,6","400,00",O,S,
1.0,19/07/2025,MI,,C,"16,0","400,00",O,S,
1.0,19/07/2025,MI,,C,"17,3","400,00",O,S,
1.0,19/07/2025,MI,,C,"48,7","400,00",O,S,
1.0,19/07/2025,MI,,C,"1,8","400,00",O,S,
1.0,19/07/2025,MI,,C,"22,1","400,00",O,S,
1.0,19/07/2025,MI,,C,"73,4","400,00",O,S,
1.0,19/07/2025,MI,,C,"0,2","351,88",O,S,
1.0,19/07/2025,MI,,C,"31,5","351,88",O,S,
1.0,19/07/2025,MI,,C,"0,1","351,88",O,S,
1.0,19/07/2025,MI,,C,"1,4","350,00",O,S,
1.0,19/07/2025,MI,,C,"0,6","350,00",O,S,
1.0,19/07/2025,MI,,C,"478,5","350,00",O,S,
1.0,19/07/2025,MI,,C,"366,5","350,00",O,S,
1.0,19/07/2025,MI,,C,"0,3","310,14",O,S,
1.0,19/07/2025,MI,,C,"86,1","310,14",O,S,
1.0,19/07/2025,MI,,C,"4,2","302,08",O,S,
1.0,19/07/2025,MI,,C,"3,1","302,08",O,S,
1.0,19/07/2025,MI,,C,"40,0","302,08",O,S,
1.0,19/07/2025,MI,,C,"3,5","302,08",O,S,
1.0,19/07/2025,MI,,C,"4,6","302,08",O,S,
1.0,19/07/2025,MI,,C,"146,0","302,08",O,S,
1.0,19/07/2025,MI,,C,"6,2","302,08",O,S,
1.0,19/07/2025,MI,,C,"0,2","302,08",O,S,
1.0,19/07/2025,MI,,C,"76,1","302,08",O,S,
1.0,19/07/2025,MI,,C,"3,3","302,08",O,S,
1.0,19/07/2025,MI,,C,"40,4","302,00",O,S,
1.0,19/07/2025,MI,,C,"1,5","302,00",O,S,
1.0,19/07/2025,MI,,C,"10,7","302,00",O,S,
1.0,19/07/2025,MI,,C,"1,1","301,00",O,S,
1.0,19/07/2025,MI,,C,"0,1","300,30",O,S,
1.0,19/07/2025,MI,,C,"27,8","300,30",O,S,
1.0,19/07/2025,MI,,C,"0,3","300,30",O,S,
1.0,19/07/2025,MI,,C,"0,6","300,03",O,S,
1.0,19/07/2025,MI,,C,"2,7","300,03",O,S,
1.0,19/07/2025,MI,,C,"11,1","300,03",O,S,
1.0,19/07/2025,MI,,C,"2,4","300,03",O,S,
1.0,19/07/2025,MI,,C,"32,3","300,03",O,S,
1.0,19/07/2025,MI,,C,"3,8","300,03",O,S,
1.0,19/07/2025,MI,,C,"1,3","300,03",O,S,
1.0,19/07/2025,MI,,C,"0,2","300,03",O,S,
1.0,19/07/2025,MI,,C,"3,8","300,03",O,S,
1.0,19/07/2025,MI,,C,"7,6","300,03",O,S,
1.0,19/07/2025,MI,,C,"12,6","300,03",O,S,
1.0,19/07/2025,MI,,C,"0,2","300,03",O,S,
1.0,19/07/2025,MI,,C,"3,7","300,00",O,S,
1.0,19/07/2025,MI,,C,"7,4","300,00",O,S,
1.0,19/07/2025,MI,,C,"68,9","300,00",O,S,
1.0,19/07/2025,MI,,C,"1,2","300,00",O,S,
1.0,19/07/2025,MI,,C,"0,9","300,00",O,S,
1.0,19/07/2025,MI,,C,"0,1","300,00",O,S,
1.0,19/07/2025,MI,,C,"0,6","300,00",O,S,
1.0,19/07/2025,MI,,C,"2,0","300,00",O,S,
1.0,19/07/2025,MI,,C,"0,7","300,00",O,S,
1.0,19/07/2025,MI,,C,"278,7","300,00",O,S,
1.0,19/07/2025,MI,,C,"87,3","300,00",O,S,
1.0,19/07/2025,MI,,C,"35,4","300,00",O,S,
1.0,19/07/2025,MI,,C,"0,1","300,00",O,S,
1.0,19/07/2025,MI,,C,"0,1","300,00",O,S,
1.0,19/07/2025,MI,,C,"0,1","300,00",O,S,
1.0,19/07/2025,MI,,C,"9,0","300,00",O,S,
1.0,19/07/2025,MI,,C,"129,7","300,00",O,S,
1.0,19/07/2025,MI,,C,"1,8","300,00",O,S,
1.0,19/07/2025,MI,,C,"47,2","300,00",O,S,
1.0,19/07/2025,MI,,C,"8,3","300,00",O,S,
1.0,19/07/2025,MI,,C,"183,9","300,00",O,S,
1.0,19/07/2025,MI,,C,"170,2","300,00",O,S,
1.0,19/07/2025,MI,,C,"2,7","300,00",O,S,
1.0,19/07/2025,MI,,C,"27,0","300,00",O,S,
1.0,19/07/2025,MI,,C,"1,8","300,00",O,S,
1.0,19/07/2025,MI,,C,"4,7","300,00",O,S,
1.0,19/07/2025,MI,,C,"0,3","300,00",O,S,
1.0,19/07/2025,MI,,C,"1,0","300,00",O,S,
1.0,19/07/2025,MI,,C,"1,1","300,00",O,S,
1.0,19/07/2025,MI,,C,"18,7","300,00",O,S,
1.0,19/07/2025,MI,,C,"7,1","300,00",O,S,
1.0,19/07/2025,MI,,C,"2,9","300,00",O,S,
1.0,19/07/2025,MI,,C,"1,0","300,00",O,S,
1.0,19/07/2025,MI,,C,"0,1","300,00",O,S,
1.0,19/07/2025,MI,,C,"1,0","300,00",O,S,
