Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,12/06/2025,MI,,C,"6,8","1.500,00",O,S,
1.0,12/06/2025,MI,,C,"178,2","1.500,00",O,S,
1.0,12/06/2025,MI,,C,"468,2","1.500,00",O,S,
1.0,12/06/2025,MI,,C,"0,1","800,00",O,S,
1.0,12/06/2025,MI,,C,"0,1","700,05",O,S,
1.0,12/06/2025,MI,,C,"25,7","501,00",O,S,
1.0,12/06/2025,MI,,C,"1.959,4","501,00",O,S,
1.0,12/06/2025,MI,,C,"271,1","501,00",O,S,
1.0,12/06/2025,MI,,C,"393,0","500,00",O,S,
1.0,12/06/2025,MI,,C,"14,4","500,00",O,S,
1.0,12/06/2025,MI,,C,"487,6","500,00",O,S,
1.0,12/06/2025,MI,,C,"0,1","500,00",O,S,
1.0,12/06/2025,MI,,C,"90,7","500,00",O,S,
1.0,12/06/2025,MI,,C,"0,1","500,00",O,S,
1.0,12/06/2025,MI,,C,"245,9","500,00",O,S,
1.0,12/06/2025,MI,,C,"587,3","500,00",O,S,
1.0,12/06/2025,MI,,C,"26,3","500,00",O,S,
1.0,12/06/2025,MI,,C,"923,2","500,00",O,S,
1.0,12/06/2025,MI,,C,"222,3","500,00",O,S,
1.0,12/06/2025,MI,,C,"0,1","466,30",O,S,
1.0,12/06/2025,MI,,C,"0,3","466,30",O,S,
1.0,12/06/2025,MI,,C,"40,4","466,30",O,S,
1.0,12/06/2025,MI,,C,"4,5","451,00",O,S,
1.0,12/06/2025,MI,,C,"38,6","451,00",O,S,
1.0,12/06/2025,MI,,C,"134,7","451,00",O,S,
1.0,12/06/2025,MI,,C,"140,6","450,00",O,S,
1.0,12/06/2025,MI,,C,"904,5","450,00",O,S,
1.0,12/06/2025,MI,,C,"18,6","449,00",O,S,
1.0,12/06/2025,MI,,C,"6,3","417,51",O,S,
1.0,12/06/2025,MI,,C,"7,7","402,00",O,S,
1.0,12/06/2025,MI,,C,"57,5","402,00",O,S,
1.0,12/06/2025,MI,,C,"5,2","400,00",O,S,
1.0,12/06/2025,MI,,C,"44,2","400,00",O,S,
1.0,12/06/2025,MI,,C,"1,3","400,00",O,S,
1.0,12/06/2025,MI,,C,"2,1","400,00",O,S,
1.0,12/06/2025,MI,,C,"4,2","400,00",O,S,
1.0,12/06/2025,MI,,C,"496,8","400,00",O,S,
1.0,12/06/2025,MI,,C,"76,9","400,00",O,S,
1.0,12/06/2025,MI,,C,"8,0","400,00",O,S,
1.0,12/06/2025,MI,,C,"1.029,2","400,00",O,S,
1.0,12/06/2025,MI,,C,"13,6","400,00",O,S,
