Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,24/04/2025,MI,,C,"378,6","1.500,00",O,S,
1.0,24/04/2025,MI,,C,"7,2","1.500,00",O,S,
1.0,24/04/2025,MI,,C,"182,9","1.500,00",O,S,
1.0,24/04/2025,MI,,C,"0,1","800,00",O,S,
1.0,24/04/2025,MI,,C,"0,1","700,05",O,S,
1.0,24/04/2025,MI,,C,"30,8","501,00",O,S,
1.0,24/04/2025,MI,,C,"249,4","501,00",O,S,
1.0,24/04/2025,MI,,C,"2.082,4","501,00",O,S,
1.0,24/04/2025,MI,,C,"28,2","500,00",O,S,
1.0,24/04/2025,MI,,C,"367,3","500,00",O,S,
1.0,24/04/2025,MI,,C,"225,6","500,00",O,S,
1.0,24/04/2025,MI,,C,"0,1","500,00",O,S,
1.0,24/04/2025,MI,,C,"89,1","500,00",O,S,
1.0,24/04/2025,MI,,C,"572,7","500,00",O,S,
1.0,24/04/2025,MI,,C,"17,7","500,00",O,S,
1.0,24/04/2025,MI,,C,"236,1","500,00",O,S,
1.0,24/04/2025,MI,,C,"849,1","500,00",O,S,
1.0,24/04/2025,MI,,C,"0,1","500,00",O,S,
1.0,24/04/2025,MI,,C,"0,1","500,00",O,S,
1.0,24/04/2025,MI,,C,"0,1","466,30",O,S,
1.0,24/04/2025,MI,,C,"40,4","466,30",O,S,
1.0,24/04/2025,MI,,C,"0,3","466,30",O,S,
1.0,24/04/2025,MI,,C,"4,6","451,00",O,S,
1.0,24/04/2025,MI,,C,"134,7","451,00",O,S,
1.0,24/04/2025,MI,,C,"38,6","451,00",O,S,
1.0,24/04/2025,MI,,C,"139,6","450,00",O,S,
1.0,24/04/2025,MI,,C,"868,0","450,00",O,S,
1.0,24/04/2025,MI,,C,"18,6","449,00",O,S,
1.0,24/04/2025,MI,,C,"34,5","402,00",O,S,
1.0,24/04/2025,MI,,C,"7,7","402,00",O,S,
1.0,24/04/2025,MI,,C,"8,9","402,00",O,S,
1.0,24/04/2025,MI,,C,"54,0","402,00",O,S,
1.0,24/04/2025,MI,,C,"4,6","402,00",O,S,
1.0,24/04/2025,MI,,C,"2,4","400,00",O,S,
