Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,04/07/2025,MI,,C,"7,0","1.500,00",O,S,
1.0,04/07/2025,MI,,C,"225,3","1.500,00",O,S,
1.0,04/07/2025,MI,,C,"516,0","1.500,00",O,S,
1.0,04/07/2025,MI,,C,"0,1","800,00",O,S,
1.0,04/07/2025,MI,,C,"0,1","700,05",O,S,
1.0,04/07/2025,MI,,C,"2.287,3","501,00",O,S,
1.0,04/07/2025,MI,,C,"345,3","501,00",O,S,
1.0,04/07/2025,MI,,C,"31,1","501,00",O,S,
1.0,04/07/2025,MI,,C,"990,1","500,00",O,S,
1.0,04/07/2025,MI,,C,"26,9","500,00",O,S,
1.0,04/07/2025,MI,,C,"364,0","500,00",O,S,
1.0,04/07/2025,MI,,C,"14,9","500,00",O,S,
1.0,04/07/2025,MI,,C,"68,7","500,00",O,S,
1.0,04/07/2025,MI,,C,"792,8","500,00",O,S,
1.0,04/07/2025,MI,,C,"111,3","500,00",O,S,
1.0,04/07/2025,MI,,C,"200,6","500,00",O,S,
1.0,04/07/2025,MI,,C,"0,1","500,00",O,S,
1.0,04/07/2025,MI,,C,"0,1","500,00",O,S,
1.0,04/07/2025,MI,,C,"398,1","500,00",O,S,
1.0,04/07/2025,MI,,C,"13,7","500,00",O,S,
1.0,04/07/2025,MI,,C,"40,4","466,30",O,S,
1.0,04/07/2025,MI,,C,"0,3","466,30",O,S,
1.0,04/07/2025,MI,,C,"0,1","466,30",O,S,
1.0,04/07/2025,MI,,C,"38,6","451,00",O,S,
1.0,04/07/2025,MI,,C,"2,3","451,00",O,S,
1.0,04/07/2025,MI,,C,"134,7","451,00",O,S,
1.0,04/07/2025,MI,,C,"173,1","450,00",O,S,
1.0,04/07/2025,MI,,C,"958,2","450,00",O,S,
1.0,04/07/2025,MI,,C,"18,1","449,00",O,S,
1.0,04/07/2025,MI,,C,"48,3","402,00",O,S,
1.0,04/07/2025,MI,,C,"66,6","402,00",O,S,
1.0,04/07/2025,MI,,C,"31,7","400,00",O,S,
1.0,04/07/2025,MI,,C,"1,5","400,00",O,S,
1.0,04/07/2025,MI,,C,"7,7","400,00",O,S,
1.0,04/07/2025,MI,,C,"2,5","400,00",O,S,
1.0,04/07/2025,MI,,C,"5,3","400,00",O,S,
1.0,04/07/2025,MI,,C,"2,2","400,00",O,S,
1.0,04/07/2025,MI,,C,"1.602,0","400,00",O,S,
1.0,04/07/2025,MI,,C,"77,4","400,00",O,S,
1.0,04/07/2025,MI,,C,"7,8","400,00",O,S,
1.0,04/07/2025,MI,,C,"9,8","400,00",O,S,
1.0,04/07/2025,MI,,C,"15,3","400,00",O,S,
1.0,04/07/2025,MI,,C,"22,3","400,00",O,S,
1.0,04/07/2025,MI,,C,"80,7","400,00",O,S,
1.0,04/07/2025,MI,,C,"1,8","400,00",O,S,
1.0,04/07/2025,MI,,C,"66,4","400,00",O,S,
1.0,04/07/2025,MI,,C,"7,2","389,69",O,S,
1.0,04/07/2025,MI,,C,"405,7","350,00",O,S,
1.0,04/07/2025,MI,,C,"0,6","350,00",O,S,
1.0,04/07/2025,MI,,C,"470,5","350,00",O,S,
1.0,04/07/2025,MI,,C,"1,2","350,00",O,S,
1.0,04/07/2025,MI,,C,"97,9","315,03",O,S,
1.0,04/07/2025,MI,,C,"0,4","315,03",O,S,
1.0,04/07/2025,MI,,C,"1,5","302,00",O,S,
1.0,04/07/2025,MI,,C,"11,1","302,00",O,S,
1.0,04/07/2025,MI,,C,"39,4","302,00",O,S,
1.0,04/07/2025,MI,,C,"0,3","301,00",O,S,
1.0,04/07/2025,MI,,C,"0,2","300,30",O,S,
1.0,04/07/2025,MI,,C,"27,4","300,30",O,S,
1.0,04/07/2025,MI,,C,"0,1","300,30",O,S,
1.0,04/07/2025,MI,,C,"9,6","300,03",O,S,
1.0,04/07/2025,MI,,C,"2,4","300,03",O,S,
1.0,04/07/2025,MI,,C,"10,7","300,03",O,S,
1.0,04/07/2025,MI,,C,"3,1","300,03",O,S,
1.0,04/07/2025,MI,,C,"0,1","300,03",O,S,
1.0,04/07/2025,MI,,C,"45,5","300,03",O,S,
1.0,04/07/2025,MI,,C,"7,1","300,03",O,S,
1.0,04/07/2025,MI,,C,"2,2","300,03",O,S,
1.0,04/07/2025,MI,,C,"0,2","300,03",O,S,
1.0,04/07/2025,MI,,C,"1,0","300,03",O,S,
1.0,04/07/2025,MI,,C,"3,8","300,03",O,S,
1.0,04/07/2025,MI,,C,"0,2","300,00",O,S,
1.0,04/07/2025,MI,,C,"0,1","300,00",O,S,
1.0,04/07/2025,MI,,C,"0,4","300,00",O,S,
1.0,04/07/2025,MI,,C,"0,3","300,00",O,S,
1.0,04/07/2025,MI,,C,"0,1","300,00",O,S,
1.0,04/07/2025,MI,,C,"0,5","300,00",O,S,
1.0,04/07/2025,MI,,C,"6,6","300,00",O,S,
1.0,04/07/2025,MI,,C,"192,5","300,00",O,S,
1.0,04/07/2025,MI,,C,"178,9","300,00",O,S,
1.0,04/07/2025,MI,,C,"1,7","300,00",O,S,
1.0,04/07/2025,MI,,C,"1,8","300,00",O,S,
1.0,04/07/2025,MI,,C,"45,8","300,00",O,S,
1.0,04/07/2025,MI,,C,"1,1","300,00",O,S,
1.0,04/07/2025,MI,,C,"18,3","300,00",O,S,
1.0,04/07/2025,MI,,C,"6,2","300,00",O,S,
1.0,04/07/2025,MI,,C,"2,3","300,00",O,S,
1.0,04/07/2025,MI,,C,"27,0","300,00",O,S,
1.0,04/07/2025,MI,,C,"0,1","300,00",O,S,
1.0,04/07/2025,MI,,C,"0,9","300,00",O,S,
1.0,04/07/2025,MI,,C,"4,3","300,00",O,S,
1.0,04/07/2025,MI,,C,"0,3","300,00",O,S,
1.0,04/07/2025,MI,,C,"1,0","300,00",O,S,
1.0,04/07/2025,MI,,C,"60,8","300,00",O,S,
1.0,04/07/2025,MI,,C,"2,1","300,00",O,S,
1.0,04/07/2025,MI,,C,"0,9","300,00",O,S,
1.0,04/07/2025,MI,,C,"38,1","300,00",O,S,
1.0,04/07/2025,MI,,C,"158,6","300,00",O,S,
1.0,04/07/2025,MI,,C,"3,3","300,00",O,S,
1.0,04/07/2025,MI,,C,"768,4","300,00",O,S,
1.0,04/07/2025,MI,,C,"72,0","300,00",O,S,
1.0,04/07/2025,MI,,C,"1,3","300,00",O,S,
1.0,04/07/2025,MI,,C,"2,0","300,00",O,S,
1.0,04/07/2025,MI,,C,"3,2","300,00",O,S,
1.0,04/07/2025,MI,,C,"7,1","300,00",O,S,
1.0,04/07/2025,MI,,C,"65,7","300,00",O,S,
1.0,04/07/2025,MI,,C,"0,7","300,00",O,S,
1.0,04/07/2025,MI,,C,"0,6","300,00",O,S,
1.0,04/07/2025,MI,,C,"2,0","300,00",O,S,
1.0,04/07/2025,MI,,C,"10,5","300,00",O,S,
1.0,04/07/2025,MI,,C,"137,5","300,00",O,S,
1.0,04/07/2025,MI,,C,"0,7","300,00",O,S,
1.0,04/07/2025,MI,,C,"260,4","300,00",O,S,
1.0,04/07/2025,MI,,C,"89,1","300,00",O,S,
1.0,04/07/2025,MI,,C,"30,0","300,00",O,S,
1.0,04/07/2025,MI,,C,"0,1","300,00",O,S,
1.0,04/07/2025,MI,,C,"0,2","300,00",O,S,
1.0,04/07/2025,MI,,C,"1,3","300,00",O,S,
1.0,04/07/2025,MI,,C,"106,9","299,00",O,S,
1.0,04/07/2025,MI,,C,"16,4","290,01",O,S,
1.0,04/07/2025,MI,,C,"0,4","284,77",O,S,
1.0,04/07/2025,MI,,C,"78,8","284,77",O,S,
1.0,04/07/2025,MI,,C,"5,2","284,77",O,S,
1.0,04/07/2025,MI,,C,"18,3","284,77",O,S,
1.0,04/07/2025,MI,,C,"5,2","284,77",O,S,
1.0,04/07/2025,MI,,C,"5,5","284,77",O,S,
1.0,04/07/2025,MI,,C,"2,5","284,77",O,S,
1.0,04/07/2025,MI,,C,"41,3","284,77",O,S,
1.0,04/07/2025,MI,,C,"3,1","284,77",O,S,
