Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,02/05/2025,MI,,C,321.3,1500.0,O,S,
1.0,02/05/2025,MI,,C,7.2,1500.0,O,S,
1.0,02/05/2025,MI,,C,172.5,1500.0,O,S,
1.0,02/05/2025,MI,,C,0.1,800.0,O,S,
1.0,02/05/2025,MI,,C,0.1,700.05,O,S,
1.0,02/05/2025,MI,,C,244.7,501.0,O,S,
1.0,02/05/2025,MI,,C,28.4,501.0,O,S,
1.0,02/05/2025,MI,,C,1856.8,501.0,O,S,
1.0,02/05/2025,MI,,C,93.2,500.0,O,S,
1.0,02/05/2025,MI,,C,8.9,500.0,O,S,
1.0,02/05/2025,MI,,C,0.1,500.0,O,S,
1.0,02/05/2025,MI,,C,575.8,500.0,O,S,
1.0,02/05/2025,MI,,C,180.6,500.0,O,S,
1.0,02/05/2025,MI,,C,0.1,500.0,O,S,
1.0,02/05/2025,MI,,C,31.8,500.0,O,S,
1.0,02/05/2025,MI,,C,322.3,500.0,O,S,
1.0,02/05/2025,MI,,C,0.1,500.0,O,S,
1.0,02/05/2025,MI,,C,140.7,500.0,O,S,
1.0,02/05/2025,MI,,C,749.2,500.0,O,S,
1.0,02/05/2025,MI,,C,0.3,466.3,O,S,
1.0,02/05/2025,MI,,C,40.4,466.3,O,S,
1.0,02/05/2025,MI,,C,134.7,451.0,O,S,
1.0,02/05/2025,MI,,C,38.6,451.0,O,S,
1.0,02/05/2025,MI,,C,2.8,451.0,O,S,
1.0,02/05/2025,MI,,C,122.0,450.0,O,S,
1.0,02/05/2025,MI,,C,719.9,450.0,O,S,
1.0,02/05/2025,MI,,C,17.6,449.0,O,S,
1.0,02/05/2025,MI,,C,48.1,402.0,O,S,
1.0,02/05/2025,MI,,C,14.8,402.0,O,S,
1.0,02/05/2025,MI,,C,2.0,402.0,O,S,
1.0,02/05/2025,MI,,C,5.2,402.0,O,S,
1.0,02/05/2025,MI,,C,38.3,402.0,O,S,
1.0,02/05/2025,MI,,C,5.9,400.0,O,S,
1.0,02/05/2025,MI,,C,18.6,400.0,O,S,
1.0,02/05/2025,MI,,C,79.0,400.0,O,S,
1.0,02/05/2025,MI,,C,20.0,400.0,O,S,
1.0,02/05/2025,MI,,C,60.2,400.0,O,S,
1.0,02/05/2025,MI,,C,16.6,400.0,O,S,
1.0,02/05/2025,MI,,C,37.9,400.0,O,S,
1.0,02/05/2025,MI,,C,6.9,400.0,O,S,
1.0,02/05/2025,MI,,C,3.1,400.0,O,S,
1.0,02/05/2025,MI,,C,1.8,400.0,O,S,
1.0,02/05/2025,MI,,C,361.9,400.0,O,S,
1.0,02/05/2025,MI,,C,2.3,400.0,O,S,
1.0,02/05/2025,MI,,C,0.5,400.0,O,S,
1.0,02/05/2025,MI,,C,1.4,400.0,O,S,
1.0,02/05/2025,MI,,C,45.4,400.0,O,S,
1.0,02/05/2025,MI,,C,45.6,400.0,O,S,
1.0,02/05/2025,MI,,C,20.6,400.0,O,S,
1.0,02/05/2025,MI,,C,27.0,400.0,O,S,
1.0,02/05/2025,MI,,C,5.3,400.0,O,S,
1.0,02/05/2025,MI,,C,3.5,400.0,O,S,
1.0,02/05/2025,MI,,C,60.3,400.0,O,S,
1.0,02/05/2025,MI,,C,1.4,400.0,O,S,
1.0,02/05/2025,MI,,C,558.5,400.0,O,S,
1.0,02/05/2025,MI,,C,1.1,400.0,O,S,
1.0,02/05/2025,MI,,C,3.7,400.0,O,S,
1.0,02/05/2025,MI,,C,44.0,400.0,O,S,
1.0,02/05/2025,MI,,C,9.1,400.0,O,S,
1.0,02/05/2025,MI,,C,5.8,374.52,O,S,
1.0,02/05/2025,MI,,C,5.1,350.0,O,S,
1.0,02/05/2025,MI,,C,0.5,350.0,O,S,
1.0,02/05/2025,MI,,C,317.6,350.0,O,S,
1.0,02/05/2025,MI,,C,362.8,350.0,O,S,
1.0,02/05/2025,MI,,C,53.7,350.0,O,S,
1.0,02/05/2025,MI,,C,0.8,350.0,O,S,
1.0,02/05/2025,MI,,C,0.3,301.0,O,S,
1.0,02/05/2025,MI,,C,0.1,300.3,O,S,
1.0,02/05/2025,MI,,C,0.1,300.3,O,S,
1.0,02/05/2025,MI,,C,0.8,300.03,O,S,
1.0,02/05/2025,MI,,C,2.7,300.03,O,S,
1.0,02/05/2025,MI,,C,28.1,300.03,O,S,
1.0,02/05/2025,MI,,C,2.0,300.03,O,S,
1.0,02/05/2025,MI,,C,3.7,300.03,O,S,
1.0,02/05/2025,MI,,C,1.0,300.03,O,S,
1.0,02/05/2025,MI,,C,0.5,300.03,O,S,
1.0,02/05/2025,MI,,C,24.4,300.03,O,S,
1.0,02/05/2025,MI,,C,2.0,300.03,O,S,
1.0,02/05/2025,MI,,C,0.1,300.03,O,S,
1.0,02/05/2025,MI,,C,0.2,300.03,O,S,
1.0,02/05/2025,MI,,C,5.0,300.03,O,S,
1.0,02/05/2025,MI,,C,6.4,300.03,O,S,
