Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,06/05/2025,ES,,C,"428,5","1.500,00",O,S,
1.0,06/05/2025,ES,,C,"7,2","1.500,00",O,S,
1.0,06/05/2025,ES,,C,"175,6","1.500,00",O,S,
1.0,06/05/2025,ES,,C,"0,1","800,00",O,S,
1.0,06/05/2025,ES,,C,"0,1","700,05",O,S,
1.0,06/05/2025,ES,,C,"228,0","501,00",O,S,
1.0,06/05/2025,PT,,C,"19,9","501,00",O,S,
1.0,06/05/2025,PT,,C,"2.074,5","501,00",O,S,
1.0,06/05/2025,ES,,C,"207,0","500,00",O,S,
1.0,06/05/2025,ES,,C,"17,1","500,00",O,S,
1.0,06/05/2025,ES,,C,"547,3","500,00",O,S,
1.0,06/05/2025,ES,,C,"0,1","500,00",O,S,
1.0,06/05/2025,ES,,C,"228,2","500,00",O,S,
1.0,06/05/2025,ES,,C,"0,1","500,00",O,S,
1.0,06/05/2025,PT,,C,"371,8","500,00",O,S,
1.0,06/05/2025,PT,,C,"830,7","500,00",O,S,
1.0,06/05/2025,ES,,C,"25,4","500,00",O,S,
1.0,06/05/2025,ES,,C,"89,2","500,00",O,S,
1.0,06/05/2025,ES,,C,"8,9","500,00",O,S,
1.0,06/05/2025,ES,,C,"0,1","500,00",O,S,
1.0,06/05/2025,ES,,C,"0,3","466,30",O,S,
1.0,06/05/2025,ES,,C,"0,1","466,30",O,S,
1.0,06/05/2025,ES,,C,"40,4","466,30",O,S,
1.0,06/05/2025,PT,,C,"38,6","451,00",O,S,
1.0,06/05/2025,ES,,C,"134,7","451,00",O,S,
1.0,06/05/2025,ES,,C,"2,3","451,00",O,S,
1.0,06/05/2025,PT,,C,"189,7","450,00",O,S,
1.0,06/05/2025,ES,,C,"900,0","450,00",O,S,
1.0,06/05/2025,ES,,C,"18,6","449,00",O,S,
1.0,06/05/2025,ES,,C,"12,2","402,00",O,S,
1.0,06/05/2025,ES,,C,"48,1","402,00",O,S,
1.0,06/05/2025,ES,,C,"1,8","400,00",O,S,
1.0,06/05/2025,ES,,C,"34,2","400,00",O,S,
1.0,06/05/2025,ES,,C,"76,3","400,00",O,S,
1.0,06/05/2025,ES,,C,"370,6","400,00",O,S,
1.0,06/05/2025,ES,,C,"2,1","400,00",O,S,
1.0,06/05/2025,ES,,C,"622,9","400,00",O,S,
1.0,06/05/2025,ES,,C,"27,0","400,00",O,S,
1.0,06/05/2025,ES,,C,"1,4","400,00",O,S,
1.0,06/05/2025,ES,,C,"5,0","400,00",O,S,
1.0,06/05/2025,ES,,C,"16,6","400,00",O,S,
1.0,06/05/2025,PT,,C,"6,9","400,00",O,S,
1.0,06/05/2025,PT,,C,"3,2","400,00",O,S,
1.0,06/05/2025,PT,,C,"40,3","400,00",O,S,
1.0,06/05/2025,ES,,C,"4,3","400,00",O,S,
1.0,06/05/2025,ES,,C,"87,4","400,00",O,S,
1.0,06/05/2025,ES,,C,"20,4","400,00",O,S,
1.0,06/05/2025,ES,,C,"61,8","400,00",O,S,
1.0,06/05/2025,ES,,C,"3,8","400,00",O,S,
1.0,06/05/2025,ES,,C,"3,1","400,00",O,S,
1.0,06/05/2025,ES,,C,"18,4","400,00",O,S,
1.0,06/05/2025,ES,,C,"5,2","400,00",O,S,
1.0,06/05/2025,ES,,C,"69,0","400,00",O,S,
1.0,06/05/2025,ES,,C,"1,1","400,00",O,S,
1.0,06/05/2025,PT,,C,"72,7","400,00",O,S,
1.0,06/05/2025,ES,,C,"20,4","400,00",O,S,
1.0,06/05/2025,ES,,C,"49,8","350,00",O,S,
1.0,06/05/2025,ES,,C,"0,5","350,00",O,S,
1.0,06/05/2025,ES,,C,"0,1","350,00",O,S,
1.0,06/05/2025,PT,,C,"362,8","350,00",O,S,
1.0,06/05/2025,ES,,C,"0,8","350,00",O,S,
1.0,06/05/2025,ES,,C,"2,3","350,00",O,S,
1.0,06/05/2025,ES,,C,"5,8","309,52",O,S,
1.0,06/05/2025,ES,,C,"0,2","301,00",O,S,
1.0,06/05/2025,ES,,C,"0,1","300,30",O,S,
