Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,04/06/2025,MI,,C,447.1,1500.0,O,S,
1.0,04/06/2025,MI,,C,6.8,1500.0,O,S,
1.0,04/06/2025,MI,,C,166.3,1500.0,O,S,
1.0,04/06/2025,MI,,C,0.1,800.0,O,S,
1.0,04/06/2025,MI,,C,0.1,700.05,O,S,
1.0,04/06/2025,MI,,C,254.8,501.0,O,S,
1.0,04/06/2025,MI,,C,25.8,501.0,O,S,
1.0,04/06/2025,MI,,C,1995.0,501.0,O,S,
1.0,04/06/2025,MI,,C,234.4,500.0,O,S,
1.0,04/06/2025,MI,,C,16.7,500.0,O,S,
1.0,04/06/2025,MI,,C,387.0,500.0,O,S,
1.0,04/06/2025,MI,,C,550.9,500.0,O,S,
1.0,04/06/2025,MI,,C,25.0,500.0,O,S,
1.0,04/06/2025,MI,,C,84.3,500.0,O,S,
1.0,04/06/2025,MI,,C,276.1,500.0,O,S,
1.0,04/06/2025,MI,,C,24.4,500.0,O,S,
1.0,04/06/2025,MI,,C,0.1,500.0,O,S,
1.0,04/06/2025,MI,,C,843.2,500.0,O,S,
1.0,04/06/2025,MI,,C,0.1,500.0,O,S,
1.0,04/06/2025,MI,,C,898.9,500.0,O,S,
1.0,04/06/2025,MI,,C,0.1,466.3,O,S,
1.0,04/06/2025,MI,,C,40.4,466.3,O,S,
1.0,04/06/2025,MI,,C,0.3,466.3,O,S,
1.0,04/06/2025,MI,,C,5.1,451.0,O,S,
1.0,04/06/2025,MI,,C,134.7,451.0,O,S,
1.0,04/06/2025,MI,,C,38.6,451.0,O,S,
1.0,04/06/2025,MI,,C,139.4,450.0,O,S,
1.0,04/06/2025,MI,,C,903.1,450.0,O,S,
1.0,04/06/2025,MI,,C,18.6,449.0,O,S,
1.0,04/06/2025,MI,,C,57.3,402.0,O,S,
1.0,04/06/2025,MI,,C,4.7,402.0,O,S,
1.0,04/06/2025,MI,,C,42.4,400.0,O,S,
1.0,04/06/2025,MI,,C,19.7,400.0,O,S,
1.0,04/06/2025,MI,,C,54.5,400.0,O,S,
1.0,04/06/2025,MI,,C,1.8,400.0,O,S,
1.0,04/06/2025,MI,,C,1.3,400.0,O,S,
1.0,04/06/2025,MI,,C,79.9,400.0,O,S,
1.0,04/06/2025,MI,,C,75.0,400.0,O,S,
1.0,04/06/2025,MI,,C,2.0,400.0,O,S,
1.0,04/06/2025,MI,,C,8.6,400.0,O,S,
1.0,04/06/2025,MI,,C,3.9,400.0,O,S,
1.0,04/06/2025,MI,,C,1565.9,400.0,O,S,
1.0,04/06/2025,MI,,C,482.2,400.0,O,S,
1.0,04/06/2025,MI,,C,12.7,400.0,O,S,
1.0,04/06/2025,MI,,C,5.0,400.0,O,S,
1.0,04/06/2025,MI,,C,1.6,350.0,O,S,
1.0,04/06/2025,MI,,C,0.9,350.0,O,S,
1.0,04/06/2025,MI,,C,354.8,350.0,O,S,
1.0,04/06/2025,MI,,C,48.9,350.0,O,S,
1.0,04/06/2025,MI,,C,0.5,350.0,O,S,
1.0,04/06/2025,MI,,C,6.3,327.72,O,S,
1.0,04/06/2025,MI,,C,4.0,302.0,O,S,
1.0,04/06/2025,MI,,C,36.7,302.0,O,S,
1.0,04/06/2025,MI,,C,10.2,302.0,O,S,
1.0,04/06/2025,MI,,C,0.9,301.0,O,S,
1.0,04/06/2025,MI,,C,0.1,300.3,O,S,
1.0,04/06/2025,MI,,C,23.6,300.3,O,S,
1.0,04/06/2025,MI,,C,0.1,300.3,O,S,
1.0,04/06/2025,MI,,C,0.1,300.03,O,S,
1.0,04/06/2025,MI,,C,7.6,300.03,O,S,
1.0,04/06/2025,MI,,C,2.6,300.03,O,S,
1.0,04/06/2025,MI,,C,5.6,300.03,O,S,
1.0,04/06/2025,MI,,C,0.8,300.03,O,S,
1.0,04/06/2025,MI,,C,0.3,300.03,O,S,
1.0,04/06/2025,MI,,C,1.9,300.03,O,S,
1.0,04/06/2025,MI,,C,2.0,300.03,O,S,
1.0,04/06/2025,MI,,C,0.2,300.03,O,S,
1.0,04/06/2025,MI,,C,7.4,300.03,O,S,
1.0,04/06/2025,MI,,C,3.6,300.03,O,S,
1.0,04/06/2025,MI,,C,31.6,300.03,O,S,
1.0,04/06/2025,MI,,C,122.9,300.0,O,S,
1.0,04/06/2025,MI,,C,0.6,300.0,O,S,
1.0,04/06/2025,MI,,C,143.4,300.0,O,S,
1.0,04/06/2025,MI,,C,0.7,300.0,O,S,
1.0,04/06/2025,MI,,C,0.6,300.0,O,S,
1.0,04/06/2025,MI,,C,0.9,300.0,O,S,
1.0,04/06/2025,MI,,C,0.8,300.0,O,S,
1.0,04/06/2025,MI,,C,0.6,300.0,O,S,
1.0,04/06/2025,MI,,C,0.1,300.0,O,S,
1.0,04/06/2025,MI,,C,0.4,300.0,O,S,
