Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,19/06/2025,MI,,C,"6,7","1.500,00",O,S,
1.0,19/06/2025,MI,,C,"206,9","1.500,00",O,S,
1.0,19/06/2025,MI,,C,"503,0","1.500,00",O,S,
1.0,19/06/2025,MI,,C,"0,1","800,00",O,S,
1.0,19/06/2025,MI,,C,"0,1","700,05",O,S,
1.0,19/06/2025,MI,,C,"2.091,5","501,00",O,S,
1.0,19/06/2025,MI,,C,"297,8","501,00",O,S,
1.0,19/06/2025,MI,,C,"28,2","501,00",O,S,
1.0,19/06/2025,MI,,C,"21,6","500,00",O,S,
1.0,19/06/2025,MI,,C,"0,1","500,00",O,S,
1.0,19/06/2025,MI,,C,"917,5","500,00",O,S,
1.0,19/06/2025,MI,,C,"90,7","500,00",O,S,
1.0,19/06/2025,MI,,C,"243,5","500,00",O,S,
1.0,19/06/2025,MI,,C,"15,8","500,00",O,S,
1.0,19/06/2025,MI,,C,"669,3","500,00",O,S,
1.0,19/06/2025,MI,,C,"1.587,3","500,00",O,S,
1.0,19/06/2025,MI,,C,"209,7","500,00",O,S,
1.0,19/06/2025,MI,,C,"0,3","500,00",O,S,
1.0,19/06/2025,MI,,C,"0,1","500,00",O,S,
1.0,19/06/2025,MI,,C,"27,1","500,00",O,S,
1.0,19/06/2025,MI,,C,"357,6","500,00",O,S,
1.0,19/06/2025,MI,,C,"0,1","466,30",O,S,
1.0,19/06/2025,MI,,C,"0,3","466,30",O,S,
1.0,19/06/2025,MI,,C,"40,4","466,30",O,S,
1.0,19/06/2025,MI,,C,"6,3","457,29",O,S,
1.0,19/06/2025,MI,,C,"134,7","451,00",O,S,
1.0,19/06/2025,MI,,C,"38,6","451,00",O,S,
1.0,19/06/2025,MI,,C,"8,0","451,00",O,S,
1.0,19/06/2025,MI,,C,"176,3","450,00",O,S,
1.0,19/06/2025,MI,,C,"1.015,2","450,00",O,S,
1.0,19/06/2025,MI,,C,"18,1","449,00",O,S,
1.0,19/06/2025,MI,,C,"15,8","402,00",O,S,
1.0,19/06/2025,MI,,C,"57,5","402,00",O,S,
1.0,19/06/2025,MI,,C,"46,3","400,00",O,S,
1.0,19/06/2025,MI,,C,"9,4","400,00",O,S,
1.0,19/06/2025,MI,,C,"2,2","400,00",O,S,
1.0,19/06/2025,MI,,C,"1,3","400,00",O,S,
1.0,19/06/2025,MI,,C,"4,0","400,00",O,S,
1.0,19/06/2025,MI,,C,"556,3","400,00",O,S,
1.0,19/06/2025,MI,,C,"76,9","400,00",O,S,
1.0,19/06/2025,MI,,C,"7,6","400,00",O,S,
1.0,19/06/2025,MI,,C,"1.631,1","400,00",O,S,
1.0,19/06/2025,MI,,C,"25,1","400,00",O,S,
1.0,19/06/2025,MI,,C,"10,6","400,00",O,S,
1.0,19/06/2025,MI,,C,"50,8","400,00",O,S,
1.0,19/06/2025,MI,,C,"1,8","400,00",O,S,
1.0,19/06/2025,MI,,C,"19,9","400,00",O,S,
1.0,19/06/2025,MI,,C,"54,0","400,00",O,S,
1.0,19/06/2025,MI,,C,"36,3","372,38",O,S,
1.0,19/06/2025,MI,,C,"0,1","372,38",O,S,
1.0,19/06/2025,MI,,C,"0,2","372,38",O,S,
1.0,19/06/2025,MI,,C,"464,4","350,00",O,S,
1.0,19/06/2025,MI,,C,"0,5","350,00",O,S,
1.0,19/06/2025,MI,,C,"1,6","350,00",O,S,
1.0,19/06/2025,MI,,C,"372,7","350,00",O,S,
1.0,19/06/2025,MI,,C,"59,1","350,00",O,S,
1.0,19/06/2025,MI,,C,"1,0","350,00",O,S,
1.0,19/06/2025,MI,,C,"111,6","334,11",O,S,
1.0,19/06/2025,MI,,C,"0,3","334,11",O,S,
1.0,19/06/2025,MI,,C,"4,1","309,35",O,S,
1.0,19/06/2025,MI,,C,"154,0","309,35",O,S,
1.0,19/06/2025,MI,,C,"4,7","309,35",O,S,
1.0,19/06/2025,MI,,C,"5,0","309,35",O,S,
1.0,19/06/2025,MI,,C,"3,1","309,35",O,S,
1.0,19/06/2025,MI,,C,"41,6","309,35",O,S,
1.0,19/06/2025,MI,,C,"3,0","309,35",O,S,
1.0,19/06/2025,MI,,C,"18,3","309,35",O,S,
1.0,19/06/2025,MI,,C,"80,1","309,35",O,S,
1.0,19/06/2025,MI,,C,"0,4","309,35",O,S,
1.0,19/06/2025,MI,,C,"4,5","302,00",O,S,
1.0,19/06/2025,MI,,C,"8,7","302,00",O,S,
1.0,19/06/2025,MI,,C,"39,0","302,00",O,S,
1.0,19/06/2025,MI,,C,"3,5","301,00",O,S,
