Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,28/06/2025,MI,,C,"6,8","1.500,00",O,S,
1.0,28/06/2025,MI,,C,"214,5","1.500,00",O,S,
1.0,28/06/2025,MI,,C,"512,4","1.500,00",O,S,
1.0,28/06/2025,MI,,C,"0,1","800,00",O,S,
1.0,28/06/2025,MI,,C,"0,1","700,05",O,S,
1.0,28/06/2025,MI,,C,"24,2","501,00",O,S,
1.0,28/06/2025,MI,,C,"2.025,6","501,00",O,S,
1.0,28/06/2025,MI,,C,"327,2","501,00",O,S,
1.0,28/06/2025,MI,,C,"0,1","500,00",O,S,
1.0,28/06/2025,MI,,C,"932,4","500,00",O,S,
1.0,28/06/2025,MI,,C,"0,1","500,00",O,S,
1.0,28/06/2025,MI,,C,"0,1","500,00",O,S,
1.0,28/06/2025,MI,,C,"75,7","500,00",O,S,
1.0,28/06/2025,MI,,C,"24,5","500,00",O,S,
1.0,28/06/2025,MI,,C,"191,9","500,00",O,S,
1.0,28/06/2025,MI,,C,"805,3","500,00",O,S,
1.0,28/06/2025,MI,,C,"15,2","500,00",O,S,
1.0,28/06/2025,MI,,C,"397,7","500,00",O,S,
1.0,28/06/2025,MI,,C,"335,8","500,00",O,S,
1.0,28/06/2025,MI,,C,"40,4","466,30",O,S,
1.0,28/06/2025,MI,,C,"0,1","466,30",O,S,
1.0,28/06/2025,MI,,C,"0,3","466,30",O,S,
1.0,28/06/2025,MI,,C,"5,5","451,00",O,S,
1.0,28/06/2025,MI,,C,"38,6","451,00",O,S,
1.0,28/06/2025,MI,,C,"134,7","451,00",O,S,
1.0,28/06/2025,MI,,C,"174,9","450,00",O,S,
1.0,28/06/2025,MI,,C,"821,9","450,00",O,S,
1.0,28/06/2025,MI,,C,"18,1","449,00",O,S,
1.0,28/06/2025,MI,,C,"57,8","402,00",O,S,
1.0,28/06/2025,MI,,C,"33,8","402,00",O,S,
1.0,28/06/2025,MI,,C,"35,5","400,00",O,S,
1.0,28/06/2025,MI,,C,"9,8","400,00",O,S,
1.0,28/06/2025,MI,,C,"69,7","400,00",O,S,
1.0,28/06/2025,MI,,C,"1.611,9","400,00",O,S,
1.0,28/06/2025,MI,,C,"8,4","400,00",O,S,
1.0,28/06/2025,MI,,C,"71,8","400,00",O,S,
1.0,28/06/2025,MI,,C,"21,5","400,00",O,S,
1.0,28/06/2025,MI,,C,"590,3","400,00",O,S,
1.0,28/06/2025,MI,,C,"3,9","400,00",O,S,
1.0,28/06/2025,MI,,C,"15,6","400,00",O,S,
