Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,25/05/2025,MI,,C,6.8,1500.0,O,S,
1.0,25/05/2025,MI,,C,189.9,1500.0,O,S,
1.0,25/05/2025,MI,,C,320.7,1500.0,O,S,
1.0,25/05/2025,MI,,C,0.1,800.0,O,S,
1.0,25/05/2025,MI,,C,0.1,700.05,O,S,
1.0,25/05/2025,MI,,C,5.8,550.0,O,S,
1.0,25/05/2025,MI,,C,4.1,550.0,O,S,
1.0,25/05/2025,MI,,C,1.2,550.0,O,S,
1.0,25/05/2025,MI,,C,0.8,550.0,O,S,
1.0,25/05/2025,MI,,C,1.0,550.0,O,S,
1.0,25/05/2025,MI,,C,2.9,550.0,O,S,
1.0,25/05/2025,MI,,C,0.6,550.0,O,S,
1.0,25/05/2025,MI,,C,1.6,550.0,O,S,
1.0,25/05/2025,MI,,C,1812.3,501.0,O,S,
1.0,25/05/2025,MI,,C,20.5,501.0,O,S,
1.0,25/05/2025,MI,,C,233.7,501.0,O,S,
1.0,25/05/2025,MI,,C,163.3,500.0,O,S,
1.0,25/05/2025,MI,,C,649.5,500.0,O,S,
1.0,25/05/2025,MI,,C,567.2,500.0,O,S,
1.0,25/05/2025,MI,,C,89.7,500.0,O,S,
1.0,25/05/2025,MI,,C,167.6,500.0,O,S,
1.0,25/05/2025,MI,,C,33.3,500.0,O,S,
1.0,25/05/2025,MI,,C,784.2,500.0,O,S,
1.0,25/05/2025,MI,,C,0.1,500.0,O,S,
1.0,25/05/2025,MI,,C,0.1,500.0,O,S,
1.0,25/05/2025,MI,,C,314.6,500.0,O,S,
1.0,25/05/2025,MI,,C,20.4,500.0,O,S,
1.0,25/05/2025,MI,,C,0.3,466.3,O,S,
1.0,25/05/2025,MI,,C,40.4,466.3,O,S,
1.0,25/05/2025,MI,,C,134.7,451.0,O,S,
1.0,25/05/2025,MI,,C,6.8,451.0,O,S,
1.0,25/05/2025,MI,,C,38.6,451.0,O,S,
1.0,25/05/2025,MI,,C,688.8,450.0,O,S,
1.0,25/05/2025,MI,,C,139.5,450.0,O,S,
1.0,25/05/2025,MI,,C,16.3,449.0,O,S,
1.0,25/05/2025,MI,,C,13.2,402.0,O,S,
1.0,25/05/2025,MI,,C,48.3,402.0,O,S,
1.0,25/05/2025,MI,,C,59.5,400.0,O,S,
1.0,25/05/2025,MI,,C,43.0,400.0,O,S,
1.0,25/05/2025,MI,,C,27.0,400.0,O,S,
1.0,25/05/2025,MI,,C,1.3,400.0,O,S,
1.0,25/05/2025,MI,,C,6.2,400.0,O,S,
1.0,25/05/2025,MI,,C,7.0,400.0,O,S,
1.0,25/05/2025,MI,,C,1468.9,400.0,O,S,
1.0,25/05/2025,MI,,C,2.3,400.0,O,S,
1.0,25/05/2025,MI,,C,2.7,400.0,O,S,
1.0,25/05/2025,MI,,C,385.3,400.0,O,S,
1.0,25/05/2025,MI,,C,20.4,400.0,O,S,
1.0,25/05/2025,MI,,C,16.3,400.0,O,S,
1.0,25/05/2025,MI,,C,18.9,400.0,O,S,
1.0,25/05/2025,MI,,C,57.3,400.0,O,S,
1.0,25/05/2025,MI,,C,1.8,400.0,O,S,
1.0,25/05/2025,MI,,C,26.6,400.0,O,S,
1.0,25/05/2025,MI,,C,12.5,350.0,O,S,
1.0,25/05/2025,MI,,C,43.0,350.0,O,S,
1.0,25/05/2025,MI,,C,484.7,350.0,O,S,
1.0,25/05/2025,MI,,C,0.5,350.0,O,S,
1.0,25/05/2025,MI,,C,0.9,350.0,O,S,
1.0,25/05/2025,MI,,C,326.7,350.0,O,S,
1.0,25/05/2025,MI,,C,0.4,336.56,O,S,
1.0,25/05/2025,MI,,C,56.2,336.56,O,S,
1.0,25/05/2025,MI,,C,3.4,336.56,O,S,
1.0,25/05/2025,MI,,C,1.5,336.56,O,S,
1.0,25/05/2025,MI,,C,251.1,336.56,O,S,
1.0,25/05/2025,MI,,C,4.4,336.56,O,S,
1.0,25/05/2025,MI,,C,0.8,336.56,O,S,
1.0,25/05/2025,MI,,C,26.4,336.56,O,S,
1.0,25/05/2025,MI,,C,3.1,336.56,O,S,
1.0,25/05/2025,MI,,C,4.1,336.56,O,S,
1.0,25/05/2025,MI,,C,6.1,325.72,O,S,
1.0,25/05/2025,MI,,C,37.0,302.0,O,S,
1.0,25/05/2025,MI,,C,12.0,302.0,O,S,
1.0,25/05/2025,MI,,C,2.3,301.0,O,S,
1.0,25/05/2025,MI,,C,0.1,300.3,O,S,
1.0,25/05/2025,MI,,C,22.2,300.3,O,S,
1.0,25/05/2025,MI,,C,0.1,300.3,O,S,
1.0,25/05/2025,MI,,C,0.9,300.03,O,S,
1.0,25/05/2025,MI,,C,0.2,300.03,O,S,
1.0,25/05/2025,MI,,C,2.1,300.03,O,S,
1.0,25/05/2025,MI,,C,26.9,300.03,O,S,
1.0,25/05/2025,MI,,C,6.9,300.03,O,S,
1.0,25/05/2025,MI,,C,5.6,300.03,O,S,
1.0,25/05/2025,MI,,C,0.1,300.03,O,S,
1.0,25/05/2025,MI,,C,3.7,300.03,O,S,
1.0,25/05/2025,MI,,C,0.2,300.03,O,S,
1.0,25/05/2025,MI,,C,7.4,300.03,O,S,
1.0,25/05/2025,MI,,C,2.8,300.03,O,S,
1.0,25/05/2025,MI,,C,2.1,300.03,O,S,
1.0,25/05/2025,MI,,C,0.1,300.0,O,S,
