Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,30/06/2025,MI,,C,"415,6","1.500,00",O,S,
1.0,30/06/2025,MI,,C,"6,9","1.500,00",O,S,
1.0,30/06/2025,MI,,C,"227,8","1.500,00",O,S,
1.0,30/06/2025,MI,,C,"0,1","800,00",O,S,
1.0,30/06/2025,MI,,C,"0,1","700,05",O,S,
1.0,30/06/2025,MI,,C,"1.999,6","501,00",O,S,
1.0,30/06/2025,MI,,C,"301,7","501,00",O,S,
1.0,30/06/2025,MI,,C,"23,1","501,00",O,S,
1.0,30/06/2025,MI,,C,"837,8","500,00",O,S,
1.0,30/06/2025,MI,,C,"27,2","500,00",O,S,
1.0,30/06/2025,MI,,C,"350,7","500,00",O,S,
1.0,30/06/2025,MI,,C,"30,8","500,00",O,S,
1.0,30/06/2025,MI,,C,"79,7","500,00",O,S,
1.0,30/06/2025,MI,,C,"874,5","500,00",O,S,
1.0,30/06/2025,MI,,C,"1.070,4","500,00",O,S,
1.0,30/06/2025,MI,,C,"208,8","500,00",O,S,
1.0,30/06/2025,MI,,C,"0,1","500,00",O,S,
1.0,30/06/2025,MI,,C,"0,1","500,00",O,S,
1.0,30/06/2025,MI,,C,"370,7","500,00",O,S,
1.0,30/06/2025,MI,,C,"20,7","500,00",O,S,
1.0,30/06/2025,MI,,C,"40,4","466,30",O,S,
1.0,30/06/2025,MI,,C,"0,3","466,30",O,S,
1.0,30/06/2025,MI,,C,"5,5","451,00",O,S,
1.0,30/06/2025,MI,,C,"38,6","451,00",O,S,
1.0,30/06/2025,MI,,C,"134,7","451,00",O,S,
1.0,30/06/2025,MI,,C,"105,3","450,00",O,S,
1.0,30/06/2025,MI,,C,"771,0","450,00",O,S,
1.0,30/06/2025,MI,,C,"17,6","449,00",O,S,
1.0,30/06/2025,MI,,C,"6,4","447,91",O,S,
1.0,30/06/2025,MI,,C,"26,2","402,00",O,S,
1.0,30/06/2025,MI,,C,"57,7","402,00",O,S,
1.0,30/06/2025,MI,,C,"20,7","400,00",O,S,
1.0,30/06/2025,MI,,C,"63,1","400,00",O,S,
1.0,30/06/2025,MI,,C,"9,9","400,00",O,S,
1.0,30/06/2025,MI,,C,"7,7","400,00",O,S,
1.0,30/06/2025,MI,,C,"70,7","400,00",O,S,
1.0,30/06/2025,MI,,C,"1,8","400,00",O,S,
1.0,30/06/2025,MI,,C,"1.822,9","400,00",O,S,
1.0,30/06/2025,MI,,C,"581,7","400,00",O,S,
1.0,30/06/2025,MI,,C,"2,5","400,00",O,S,
1.0,30/06/2025,MI,,C,"1,4","400,00",O,S,
1.0,30/06/2025,MI,,C,"2,3","400,00",O,S,
1.0,30/06/2025,MI,,C,"15,7","400,00",O,S,
1.0,30/06/2025,MI,,C,"48,5","400,00",O,S,
1.0,30/06/2025,MI,,C,"6,4","400,00",O,S,
1.0,30/06/2025,MI,,C,"16,6","400,00",O,S,
1.0,30/06/2025,MI,,C,"50,6","350,00",O,S,
1.0,30/06/2025,MI,,C,"1,6","350,00",O,S,
1.0,30/06/2025,MI,,C,"158,6","350,00",O,S,
1.0,30/06/2025,MI,,C,"379,3","350,00",O,S,
1.0,30/06/2025,MI,,C,"1,0","350,00",O,S,
1.0,30/06/2025,MI,,C,"0,7","350,00",O,S,
1.0,30/06/2025,MI,,C,"136,8","336,31",O,S,
1.0,30/06/2025,MI,,C,"5,1","336,31",O,S,
1.0,30/06/2025,MI,,C,"3,1","336,31",O,S,
1.0,30/06/2025,MI,,C,"36,4","336,31",O,S,
1.0,30/06/2025,MI,,C,"2,7","336,31",O,S,
1.0,30/06/2025,MI,,C,"5,2","336,31",O,S,
1.0,30/06/2025,MI,,C,"1,5","336,31",O,S,
1.0,30/06/2025,MI,,C,"4,7","336,31",O,S,
1.0,30/06/2025,MI,,C,"78,7","336,31",O,S,
1.0,30/06/2025,MI,,C,"0,4","336,31",O,S,
1.0,30/06/2025,MI,,C,"79,6","329,17",O,S,
1.0,30/06/2025,MI,,C,"1,4","329,17",O,S,
1.0,30/06/2025,MI,,C,"9,7","302,00",O,S,
1.0,30/06/2025,MI,,C,"36,8","302,00",O,S,
1.0,30/06/2025,MI,,C,"4,5","302,00",O,S,
1.0,30/06/2025,MI,,C,"2,4","301,00",O,S,
1.0,30/06/2025,MI,,C,"25,9","300,30",O,S,
1.0,30/06/2025,MI,,C,"0,2","300,30",O,S,
1.0,30/06/2025,MI,,C,"0,1","300,30",O,S,
1.0,30/06/2025,MI,,C,"0,2","300,03",O,S,
1.0,30/06/2025,MI,,C,"2,7","300,03",O,S,
1.0,30/06/2025,MI,,C,"0,1","300,03",O,S,
1.0,30/06/2025,MI,,C,"1,0","300,03",O,S,
1.0,30/06/2025,MI,,C,"3,8","300,03",O,S,
1.0,30/06/2025,MI,,C,"39,7","300,03",O,S,
1.0,30/06/2025,MI,,C,"2,1","300,03",O,S,
1.0,30/06/2025,MI,,C,"6,9","300,03",O,S,
1.0,30/06/2025,MI,,C,"11,4","300,03",O,S,
1.0,30/06/2025,MI,,C,"8,6","300,03",O,S,
1.0,30/06/2025,MI,,C,"2,2","300,03",O,S,
1.0,30/06/2025,MI,,C,"0,6","300,03",O,S,
1.0,30/06/2025,MI,,C,"238,2","300,00",O,S,
1.0,30/06/2025,MI,,C,"0,7","300,00",O,S,
1.0,30/06/2025,MI,,C,"30,2","300,00",O,S,
1.0,30/06/2025,MI,,C,"0,1","300,00",O,S,
1.0,30/06/2025,MI,,C,"11,2","300,00",O,S,
1.0,30/06/2025,MI,,C,"123,2","300,00",O,S,
1.0,30/06/2025,MI,,C,"0,6","300,00",O,S,
1.0,30/06/2025,MI,,C,"1,8","300,00",O,S,
1.0,30/06/2025,MI,,C,"0,7","300,00",O,S,
1.0,30/06/2025,MI,,C,"0,2","300,00",O,S,
1.0,30/06/2025,MI,,C,"0,1","300,00",O,S,
1.0,30/06/2025,MI,,C,"0,3","300,00",O,S,
1.0,30/06/2025,MI,,C,"0,1","300,00",O,S,
1.0,30/06/2025,MI,,C,"6,4","300,00",O,S,
1.0,30/06/2025,MI,,C,"173,7","300,00",O,S,
1.0,30/06/2025,MI,,C,"170,0","300,00",O,S,
1.0,30/06/2025,MI,,C,"1,2","300,00",O,S,
1.0,30/06/2025,MI,,C,"4,2","300,00",O,S,
1.0,30/06/2025,MI,,C,"39,4","300,00",O,S,
1.0,30/06/2025,MI,,C,"1,1","300,00",O,S,
1.0,30/06/2025,MI,,C,"14,4","300,00",O,S,
1.0,30/06/2025,MI,,C,"6,1","300,00",O,S,
1.0,30/06/2025,MI,,C,"1,7","300,00",O,S,
1.0,30/06/2025,MI,,C,"27,0","300,00",O,S,
1.0,30/06/2025,MI,,C,"0,1","300,00",O,S,
1.0,30/06/2025,MI,,C,"0,9","300,00",O,S,
1.0,30/06/2025,MI,,C,"0,3","300,00",O,S,
1.0,30/06/2025,MI,,C,"0,7","300,00",O,S,
1.0,30/06/2025,MI,,C,"53,2","300,00",O,S,
