Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,13/07/2025,MI,,C,6.8,1500.0,O,S,
1.0,13/07/2025,MI,,C,231.8,1500.0,O,S,
1.0,13/07/2025,MI,,C,422.9,1500.0,O,S,
1.0,13/07/2025,MI,,C,0.1,800.0,O,S,
1.0,13/07/2025,MI,,C,0.1,700.05,O,S,
1.0,13/07/2025,MI,,C,1983.3,501.0,O,S,
1.0,13/07/2025,MI,,C,24.3,501.0,O,S,
1.0,13/07/2025,MI,,C,297.6,501.0,O,S,
1.0,13/07/2025,MI,,C,111.2,500.0,O,S,
1.0,13/07/2025,MI,,C,68.7,500.0,O,S,
1.0,13/07/2025,MI,,C,22.2,500.0,O,S,
1.0,13/07/2025,MI,,C,0.1,500.0,O,S,
1.0,13/07/2025,MI,,C,842.4,500.0,O,S,
1.0,13/07/2025,MI,,C,303.3,500.0,O,S,
1.0,13/07/2025,MI,,C,21.9,500.0,O,S,
1.0,13/07/2025,MI,,C,28.0,500.0,O,S,
1.0,13/07/2025,MI,,C,524.1,500.0,O,S,
1.0,13/07/2025,MI,,C,325.8,500.0,O,S,
1.0,13/07/2025,MI,,C,0.1,500.0,O,S,
1.0,13/07/2025,MI,,C,772.9,500.0,O,S,
1.0,13/07/2025,MI,,C,0.3,466.3,O,S,
1.0,13/07/2025,MI,,C,40.4,466.3,O,S,
1.0,13/07/2025,MI,,C,38.6,451.0,O,S,
1.0,13/07/2025,MI,,C,134.7,451.0,O,S,
1.0,13/07/2025,MI,,C,8.2,451.0,O,S,
1.0,13/07/2025,MI,,C,716.1,450.0,O,S,
1.0,13/07/2025,MI,,C,107.3,450.0,O,S,
1.0,13/07/2025,MI,,C,17.6,449.0,O,S,
1.0,13/07/2025,MI,,C,66.8,402.0,O,S,
1.0,13/07/2025,MI,,C,24.6,402.0,O,S,
1.0,13/07/2025,MI,,C,17.4,400.0,O,S,
1.0,13/07/2025,MI,,C,18.0,400.0,O,S,
1.0,13/07/2025,MI,,C,1.8,400.0,O,S,
1.0,13/07/2025,MI,,C,61.5,400.0,O,S,
1.0,13/07/2025,MI,,C,21.2,400.0,O,S,
1.0,13/07/2025,MI,,C,3.4,400.0,O,S,
1.0,13/07/2025,MI,,C,551.0,400.0,O,S,
1.0,13/07/2025,MI,,C,73.2,400.0,O,S,
1.0,13/07/2025,MI,,C,5.8,400.0,O,S,
1.0,13/07/2025,MI,,C,1573.2,400.0,O,S,
1.0,13/07/2025,MI,,C,2.8,400.0,O,S,
1.0,13/07/2025,MI,,C,1.3,400.0,O,S,
1.0,13/07/2025,MI,,C,33.4,400.0,O,S,
1.0,13/07/2025,MI,,C,7.0,400.0,O,S,
1.0,13/07/2025,MI,,C,15.1,400.0,O,S,
1.0,13/07/2025,MI,,C,7.5,390.44,O,S,
1.0,13/07/2025,MI,,C,1.3,350.0,O,S,
1.0,13/07/2025,MI,,C,465.0,350.0,O,S,
1.0,13/07/2025,MI,,C,369.9,350.0,O,S,
1.0,13/07/2025,MI,,C,0.6,350.0,O,S,
1.0,13/07/2025,MI,,C,3.3,329.79,O,S,
1.0,13/07/2025,MI,,C,1.5,329.79,O,S,
1.0,13/07/2025,MI,,C,36.6,329.79,O,S,
1.0,13/07/2025,MI,,C,2.8,329.79,O,S,
1.0,13/07/2025,MI,,C,73.1,329.79,O,S,
1.0,13/07/2025,MI,,C,0.2,329.79,O,S,
1.0,13/07/2025,MI,,C,3.1,329.79,O,S,
1.0,13/07/2025,MI,,C,4.8,329.79,O,S,
1.0,13/07/2025,MI,,C,115.3,329.79,O,S,
1.0,13/07/2025,MI,,C,5.6,329.79,O,S,
1.0,13/07/2025,MI,,C,72.8,313.94,O,S,
1.0,13/07/2025,MI,,C,0.3,313.94,O,S,
1.0,13/07/2025,MI,,C,7.6,302.0,O,S,
1.0,13/07/2025,MI,,C,39.0,302.0,O,S,
1.0,13/07/2025,MI,,C,1.5,302.0,O,S,
1.0,13/07/2025,MI,,C,4.1,301.0,O,S,
1.0,13/07/2025,MI,,C,0.1,300.3,O,S,
1.0,13/07/2025,MI,,C,23.3,300.3,O,S,
1.0,13/07/2025,MI,,C,0.3,300.3,O,S,
1.0,13/07/2025,MI,,C,25.2,300.03,O,S,
1.0,13/07/2025,MI,,C,0.2,300.03,O,S,
1.0,13/07/2025,MI,,C,3.0,300.03,O,S,
1.0,13/07/2025,MI,,C,10.6,300.03,O,S,
1.0,13/07/2025,MI,,C,7.6,300.03,O,S,
1.0,13/07/2025,MI,,C,2.6,300.03,O,S,
1.0,13/07/2025,MI,,C,0.2,300.03,O,S,
1.0,13/07/2025,MI,,C,1.2,300.03,O,S,
1.0,13/07/2025,MI,,C,3.8,300.03,O,S,
1.0,13/07/2025,MI,,C,2.5,300.03,O,S,
1.0,13/07/2025,MI,,C,9.5,300.03,O,S,
1.0,13/07/2025,MI,,C,27.0,300.0,O,S,
1.0,13/07/2025,MI,,C,0.1,300.0,O,S,
1.0,13/07/2025,MI,,C,1.0,300.0,O,S,
1.0,13/07/2025,MI,,C,178.4,300.0,O,S,
1.0,13/07/2025,MI,,C,1.7,300.0,O,S,
1.0,13/07/2025,MI,,C,1.8,300.0,O,S,
1.0,13/07/2025,MI,,C,42.7,300.0,O,S,
1.0,13/07/2025,MI,,C,7.5,300.0,O,S,
1.0,13/07/2025,MI,,C,165.0,300.0,O,S,
1.0,13/07/2025,MI,,C,297.0,300.0,O,S,
1.0,13/07/2025,MI,,C,82.8,300.0,O,S,
1.0,13/07/2025,MI,,C,38.9,300.0,O,S,
1.0,13/07/2025,MI,,C,0.1,300.0,O,S,
1.0,13/07/2025,MI,,C,1.5,300.0,O,S,
1.0,13/07/2025,MI,,C,0.9,300.0,O,S,
1.0,13/07/2025,MI,,C,9.8,300.0,O,S,
1.0,13/07/2025,MI,,C,144.1,300.0,O,S,
1.0,13/07/2025,MI,,C,0.7,300.0,O,S,
1.0,13/07/2025,MI,,C,0.6,300.0,O,S,
1.0,13/07/2025,MI,,C,1.9,300.0,O,S,
1.0,13/07/2025,MI,,C,1.3,300.0,O,S,
1.0,13/07/2025,MI,,C,0.2,300.0,O,S,
1.0,13/07/2025,MI,,C,23.5,300.0,O,S,
1.0,13/07/2025,MI,,C,22.8,300.0,O,S,
1.0,13/07/2025,MI,,C,0.1,300.0,O,S,
1.0,13/07/2025,MI,,C,1.9,300.0,O,S,
1.0,13/07/2025,MI,,C,3.5,300.0,O,S,
1.0,13/07/2025,MI,,C,174.0,300.0,O,S,
