Time Period,Date,Pais,Unidad,GC,Amount,Price,Ofertada (O)/Casada (C),Tipología de Oferta,Unnamed: 9
1.0,31/05/2025,MI,,C,"397,1","1.500,00",O,S,
1.0,31/05/2025,MI,,C,"6,8","1.500,00",O,S,
1.0,31/05/2025,MI,,C,"179,4","1.500,00",O,S,
1.0,31/05/2025,MI,,C,"0,1","800,00",O,S,
1.0,31/05/2025,MI,,C,"0,1","700,05",O,S,
1.0,31/05/2025,MI,,C,"2.031,3","501,00",O,S,
1.0,31/05/2025,MI,,C,"274,3","501,00",O,S,
1.0,31/05/2025,MI,,C,"24,7","501,00",O,S,
1.0,31/05/2025,MI,,C,"0,1","500,00",O,S,
1.0,31/05/2025,MI,,C,"897,8","500,00",O,S,
1.0,31/05/2025,MI,,C,"29,8","500,00",O,S,
1.0,31/05/2025,MI,,C,"367,2","500,00",O,S,
1.0,31/05/2025,MI,,C,"89,7","500,00",O,S,
1.0,31/05/2025,MI,,C,"630,9","500,00",O,S,
1.0,31/05/2025,MI,,C,"1.105,8","500,00",O,S,
1.0,31/05/2025,MI,,C,"179,7","500,00",O,S,
1.0,31/05/2025,MI,,C,"21,8","500,00",O,S,
1.0,31/05/2025,MI,,C,"0,1","500,00",O,S,
1.0,31/05/2025,MI,,C,"360,7","500,00",O,S,
1.0,31/05/2025,MI,,C,"15,8","500,00",O,S,
1.0,31/05/2025,MI,,C,"0,1","466,30",O,S,
1.0,31/05/2025,MI,,C,"0,3","466,30",O,S,
1.0,31/05/2025,MI,,C,"40,4","466,30",O,S,
1.0,31/05/2025,MI,,C,"134,7","451,00",O,S,
1.0,31/05/2025,MI,,C,"38,6","451,00",O,S,
1.0,31/05/2025,MI,,C,"7,8","451,00",O,S,
1.0,31/05/2025,MI,,C,"189,6","450,00",O,S,
1.0,31/05/2025,MI,,C,"853,8","450,00",O,S,
1.0,31/05/2025,MI,,C,"17,3","449,00",O,S,
1.0,31/05/2025,MI,,C,"48,4","402,00",O,S,
1.0,31/05/2025,MI,,C,"20,0","402,00",O,S,
1.0,31/05/2025,MI,,C,"13,7","400,00",O,S,
1.0,31/05/2025,MI,,C,"67,0","400,00",O,S,
1.0,31/05/2025,MI,,C,"53,6","400,00",O,S,
1.0,31/05/2025,MI,,C,"444,4","400,00",O,S,
1.0,31/05/2025,MI,,C,"4,1","400,00",O,S,
1.0,31/05/2025,MI,,C,"1.760,7","400,00",O,S,
1.0,31/05/2025,MI,,C,"20,0","400,00",O,S,
1.0,31/05/2025,MI,,C,"7,3","400,00",O,S,
1.0,31/05/2025,MI,,C,"75,0","400,00",O,S,
1.0,31/05/2025,MI,,C,"20,0","400,00",O,S,
